strategy,delta_km,n,c_cons,M,haulage,cons_share,transport,S,A,Acc,Cap,V,L,phi,bind,technical_value,licensed,place,state,lat,lon,class,nearest_hub,great_circle_km,road_km,scenario
Component harvesting,387.4,1,250,200,0.44,250.0,250.44,-50.44,0.0,0.1613,0.8,0.0,0.34,0.0,Availability,0.55,False,Bhuj,Gujarat,23.242,69.6669,hinterland,Ahmedabad,298.0,387.4,no_node
Material recycling,387.4,1,250,-35,0.44,250.0,250.44,-285.44,1.0,0.1613,0.8,0.0,0.34,0.0,Viability,0.2,True,Bhuj,Gujarat,23.242,69.6669,hinterland,Ahmedabad,298.0,387.4,no_node
Refurbishment,387.4,60,1400,850,0.44,23.33,23.77,826.23,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Bhuj,Gujarat,23.242,69.6669,hinterland,Ahmedabad,298.0,387.4,with_aggregation_node
Component harvesting,387.4,60,1400,200,0.44,23.33,23.77,176.23,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Bhuj,Gujarat,23.242,69.6669,hinterland,Ahmedabad,298.0,387.4,with_aggregation_node
Material recycling,387.4,60,1400,-35,0.44,23.33,23.77,-58.77,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Bhuj,Gujarat,23.242,69.6669,hinterland,Ahmedabad,298.0,387.4,with_aggregation_node
Refurbishment,455.0,1,250,850,0.52,250.0,250.52,599.48,1.0,0.0787,0.8,1.0,0.34,0.0214,Accessibility,1.0,True,Gadchiroli,Maharashtra,20.185,80.005,hinterland,Hyderabad,350.0,455.0,no_node
Component harvesting,455.0,1,250,200,0.52,250.0,250.52,-50.52,0.0,0.0787,0.8,0.0,0.34,0.0,Availability,0.55,False,Gadchiroli,Maharashtra,20.185,80.005,hinterland,Hyderabad,350.0,455.0,no_node
Material recycling,455.0,1,250,-35,0.52,250.0,250.52,-285.52,1.0,0.0787,0.8,0.0,0.34,0.0,Viability,0.2,True,Gadchiroli,Maharashtra,20.185,80.005,hinterland,Hyderabad,350.0,455.0,no_node
Refurbishment,455.0,60,1400,850,0.52,23.33,23.85,826.15,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Gadchiroli,Maharashtra,20.185,80.005,hinterland,Hyderabad,350.0,455.0,with_aggregation_node
Component harvesting,455.0,60,1400,200,0.52,23.33,23.85,176.15,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Gadchiroli,Maharashtra,20.185,80.005,hinterland,Hyderabad,350.0,455.0,with_aggregation_node
Material recycling,455.0,60,1400,-35,0.52,23.33,23.85,-58.85,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Gadchiroli,Maharashtra,20.185,80.005,hinterland,Hyderabad,350.0,455.0,with_aggregation_node
